"rid","berth_id","port_id","terminal_id","berth_name","berth_operator","berth_type","berth_status","facility_type","latitude_indicator","longitude_indicator","dec_latitude","dec_longitude","berth_length_flat_side","berth_length_incl_dolphins","berth_length_continuous","depth_alongside_lw","draught_hw_max","draught_lw_max","berth_ukc_min","tidal_range_spring","tidal_range_neap","night_berthing","night_berthing_note","night_unberthing","ship_loa_max","ship_loa_min","ship_loa_note","ship_dwt_max","ship_dwt_min","ship_dwt_note","ship_disp_max","ship_disp_min","ship_disp_note","gas_capacity_min","gas_capacity_max","gas_capacity_note","ship_beam_max","ship_beam_note","berth_disp_max","gt_max","teu","total_pbl_min","manifold_bcm_max","manifold_bcm_min","manifold_scm_max","manifold_scm_min","manifold_height_max","manifold_height_min","derrick_swl_min","wl_masthead_height_max","manifold_pbl_min_fwd","manifold_pbl_min_aft","manifold_used","ro_ro","passenger","ramp_width","ramp_swl","breakbulk","naval","coastal","timber_products","fishing","container","transhipment","offshore","project_heavy","steel_products","twin_span","cranes_note","all_weather_berth","cold_ironing","side_alongside","bunkers_hfo","delivery_hfo","gangway_used","bunkers_do_go","delivery_do_go","moorings_fwd","moorings_aft","bunkers_lng","delivery_lng","fresh_water","delivery_fw","cow","berth_additional_info","reefer","livestock","waterline_height_hw_max_decimal","dry_bulk_cargo","sdc_berth_line","sdc_berth_type","is_confirmed","sdc_berth_name","lastupdatedate","remark"
"272150","84550","15401","40008","56","Maher Terminals LLC","Quay","Active","Dry Cargo","N","W","40.68445","-74.1559","197",,"2348","13.7",,,,"1.52","1.37","All vessels",,"All vessels","166.15",,,"18349",,,,,,,,,"25",,,"15375","1284",,,,,,,,,"46",,,,,,,,"True",,,,,"True",,,,,,"4 x 71t Liebherr Super Post- Panamax cranes with 68.6m outreach, 2 x 71t Liebherr Post- Panamax cranes with 68.6m outreach, 2 x 66t Liebherr Super Post- Panamax cranes with 61m outreach, 5 x 66t Fantuzzi Post- Panamax cranes with 61m outreach, 4 x 66t ZPMC Post- Panamax cranes with 61m outreach and 7 x 50.8t Paceco Post- Panamax cranes with 41.1m outreach all available at the terminal.","True",,"Starboard",,,,,,,,,,,,,"Depths from 13.7 - 15.2m.","True",,,,,,,"Maher Container Terminal - Port Elizabeth_56","7/5/2021 13:20:56+08",
"272151","84551","15401","40008","58","Maher Terminals LLC","Quay","Active","Dry Cargo","N","W","40.683317","-74.154067","197",,"2348","13.7",,,,"1.52","1.37","All vessels",,"All vessels","185",,,"26868",,,,,,,,,"30",,,"24876","2259",,,,,,,,,"46",,,,,,,,,,,,,"True",,,,,,"4 x 71t Liebherr Super Post- Panamax cranes with 68.6m outreach, 2 x 71t Liebherr Post- Panamax cranes with 68.6m outreach, 2 x 66t Liebherr Super Post- Panamax cranes with 61m outreach, 5 x 66t Fantuzzi Post- Panamax cranes with 61m outreach, 4 x 66t ZPMC Post- Panamax cranes with 61m outreach and 7 x 50.8t Paceco Post- Panamax cranes with 41.1m outreach all available at the terminal.","True",,"Port or Starboard",,,,,,,,,,,,,"Depths from 13.7 - 15.2m.",,,,,,,,"Maher Container Terminal - Port Elizabeth_58","7/5/2021 13:13:29+08",
"272152","84552","15401","40008","60","Maher Terminals LLC","Quay","Active","Dry Cargo","N","W","40.682267","-74.152383","197",,"2348","13.7","13.1",,,"1.52","1.37","All vessels",,"All vessels","282.1",,,"50200",,,,,,,,,"32.2",,,"16137","1345",,,,,,,,,"46",,,,,,,,"True",,,,,"True",,,,,,"4 x 71t Liebherr Super Post- Panamax cranes with 68.6m outreach, 2 x 71t Liebherr Post- Panamax cranes with 68.6m outreach, 2 x 66t Liebherr Super Post- Panamax cranes with 61m outreach, 5 x 66t Fantuzzi Post- Panamax cranes with 61m outreach, 4 x 66t ZPMC Post- Panamax cranes with 61m outreach and 7 x 50.8t Paceco Post- Panamax cranes with 41.1m outreach all available at the terminal.","True",,"Port or Starboard",,,,,,,,,,,,,"Depths from 13.7 - 15.2m.","True",,,,,,,"Maher Container Terminal - Port Elizabeth_6","7/5/2021 13:11:14+08",
"272153","84553","15401","40008","64","Maher Terminals LLC","Quay","Active","Dry Cargo","N","W","40.679933","-74.148633","197",,"2348",,"14.4",,,"1.52","1.37","All vessels",,"All vessels","366.46",,,"146507",,,,,,,,,"48.4",,,"141712","13208",,,,,,,,,"46",,,,,,,,"True",,,,,"True",,,,,,"4 x 71t Liebherr Super Post- Panamax cranes with 68.6m outreach, 2 x 71t Liebherr Post- Panamax cranes with 68.6m outreach, 2 x 66t Liebherr Super Post- Panamax cranes with 61m outreach, 5 x 66t Fantuzzi Post- Panamax cranes with 61m outreach, 4 x 66t ZPMC Post- Panamax cranes with 61m outreach and 7 x 50.8t Paceco Post- Panamax cranes with 41.1m outreach all available at the terminal.","True",,"Port or Starboard",,,,,,,,,,,,,"Depths from 13.7 - 15.2m.","True",,,,,,,"Maher Container Terminal - Port Elizabeth_64","7/5/2021 13:06:29+08",
"272155","84555","15401","40008","62","Maher Terminals LLC","Quay","Active","Dry Cargo","N","W","40.681133","-74.15055","197",,"2348",,"13.9",,,"1.52","1.37","All vessels",,"All vessels","368.99",,,"165538",,,,,,,,,"51.2",,,"154169","15128",,,,,,,,,"46",,,,,,,,"True",,,,,"True",,,,,,"4 x 71t Liebherr Super Post- Panamax cranes with 68.6m outreach, 2 x 71t Liebherr Post- Panamax cranes with 68.6m outreach, 2 x 66t Liebherr Super Post- Panamax cranes with 61m outreach, 5 x 66t Fantuzzi Post- Panamax cranes with 61m outreach, 4 x 66t ZPMC Post- Panamax cranes with 61m outreach and 7 x 50.8t Paceco Post- Panamax cranes with 41.1m outreach all available at the terminal.","True",,"Port or Starboard",,,,,,,,,,,,,"Depths from 13.7 - 15.2m.","True",,,,,,,"Maher Container Terminal - Port Elizabeth_62","7/5/2021 13:10:00+08",
"272156","84556","15401","40008","66","Maher Terminals LLC","Quay","Active","Dry Cargo","N","W","40.67875","-74.146717","197",,"2348",,"14.4",,,"1.52","1.37","All vessels",,"All vessels","366.5",,,"148992",,,,,,,,,"48.4",,,"143179","13800",,,,,,,,,"46",,,,,,,,"True",,,,,"True",,,,,,"4 x 71t Liebherr Super Post- Panamax cranes with 68.6m outreach, 2 x 71t Liebherr Post- Panamax cranes with 68.6m outreach, 2 x 66t Liebherr Super Post- Panamax cranes with 61m outreach, 5 x 66t Fantuzzi Post- Panamax cranes with 61m outreach, 4 x 66t ZPMC Post- Panamax cranes with 61m outreach and 7 x 50.8t Paceco Post- Panamax cranes with 41.1m outreach all available at the terminal.","True",,"Port or Starboard",,,,,,,,,,,,,"Depths from 13.7 - 15.2m.","True",,,,,,,"Maher Container Terminal - Port Elizabeth_66","7/5/2021 09:26:30+08",
"272157","84557","15401","40008","68","Maher Terminals LLC","Quay","Active","Dry Cargo","N","W","40.67775","-74.145083","197",,"2348","13.7","13.2",,,"1.52","1.37","All vessels",,"All vessels","366.96",,,"165538",,,,,,,,,"51.2",,,"151446","14414",,,,,,,,,"46",,,,,,,,"True",,,,,"True",,,,,,"4 x 71t Liebherr Super Post- Panamax cranes with 68.6m outreach, 2 x 71t Liebherr Post- Panamax cranes with 68.6m outreach, 2 x 66t Liebherr Super Post- Panamax cranes with 61m outreach, 5 x 66t Fantuzzi Post- Panamax cranes with 61m outreach, 4 x 66t ZPMC Post- Panamax cranes with 61m outreach and 7 x 50.8t Paceco Post- Panamax cranes with 41.1m outreach all available at the terminal.","True",,"Port or Starboard",,,,,,,,,,,,,"Depths from 13.7 - 15.2m.","True",,,,,,,"Maher Container Terminal - Port Elizabeth_68","7/5/2021 09:12:49+08",
"272158","84558","15401","40008","70","Maher Terminals LLC","Quay","Active","Dry Cargo","N","W","40.676583","-74.1432","197",,"2348","13.7","13.6",,,"1.52","1.37","All vessels",,"All vessels","349.65",,,"118835",,,,,,,,,"45.8",,,"113515","9954",,,,,,,,,"46",,,,,,,,"True",,,,,"True",,,,,,"4 x 71t Liebherr Super Post- Panamax cranes with 68.6m outreach, 2 x 71t Liebherr Post- Panamax cranes with 68.6m outreach, 2 x 66t Liebherr Super Post- Panamax cranes with 61m outreach, 5 x 66t Fantuzzi Post- Panamax cranes with 61m outreach, 4 x 66t ZPMC Post- Panamax cranes with 61m outreach and 7 x 50.8t Paceco Post- Panamax cranes with 41.1m outreach all available at the terminal.","True",,"Starboard",,,,,,,,,,,,,"Depths from 13.7 - 15.2m.","True",,,,,,,"Maher Container Terminal - Port Elizabeth_7","7/5/2021 09:06:41+08",
"272159","84559","15401","40008","72","Maher Terminals LLC","Quay","Active","Dry Cargo","N","W","40.675467","-74.1414","197",,"2348",,"13.9",,,"1.52","1.37","All vessels",,"All vessels","349.99",,,"124092",,,,,,,,,"48.4",,,"113973","10114",,,,,,,,,"46",,,,,,,,"True",,,,,"True",,,,,,"4 x 71t Liebherr Super Post- Panamax cranes with 68.6m outreach, 2 x 71t Liebherr Post- Panamax cranes with 68.6m outreach, 2 x 66t Liebherr Super Post- Panamax cranes with 61m outreach, 5 x 66t Fantuzzi Post- Panamax cranes with 61m outreach, 4 x 66t ZPMC Post- Panamax cranes with 61m outreach and 7 x 50.8t Paceco Post- Panamax cranes with 41.1m outreach all available at the terminal.","True",,"Port or Starboard",,,,,,,,,,,,,"Depths from 13.7 - 15.2m.","True",,,,,,,"Maher Container Terminal - Port Elizabeth_72","7/5/2021 09:26:45+08",
"272160","84560","15401","40008","78","Maher Terminals LLC","Quay","Active","Dry Cargo","N","W","40.671033","-74.140883","230",,"690","15.2","13",,,"1.52","1.37","All vessels",,"All vessels","368.5",,,"152344",,,,,,,,,"51",,,"148667","13806",,,,,,,,,"46",,,,,,,,"True",,,,,"True",,,,,,"4 x 71t Liebherr Super Post- Panamax cranes with 68.6m outreach, 2 x 71t Liebherr Post- Panamax cranes with 68.6m outreach, 2 x 66t Liebherr Super Post- Panamax cranes with 61m outreach, 5 x 66t Fantuzzi Post- Panamax cranes with 61m outreach, 4 x 66t ZPMC Post- Panamax cranes with 61m outreach and 7 x 50.8t Paceco Post- Panamax cranes with 41.1m outreach all available at the terminal.","True",,"Port",,,,,,,,,,,,,,"True",,,,,,,"Maher Container Terminal - Port Elizabeth_78","7/5/2021 08:06:00+08",
