week,IPCI_0,IPCI
2019-12-30,1.5646967929408473,5.646967929408473
2020-01-06,1.9381676433062816,9.381676433062815
2020-01-13,1.6244678454091686,6.2446784540916855
2020-01-20,1.4522422117578642,4.522422117578642
2020-01-27,1.6586913593304606,6.586913593304606
2020-02-03,1.9286894305664455,9.286894305664454
2020-02-10,2.40804365810457,14.080436581045701
2020-02-17,1.4286382533780593,4.286382533780593
2020-02-24,1.7257042388501413,7.2570423885014135
2020-03-02,1.5261400269148098,5.261400269148098
2020-03-09,2.8233723044770302,18.2337230447703
2020-03-16,1.3958310502826214,3.9583105028262144
2020-03-23,1.5660717607767434,5.660717607767434
2020-03-30,1.3984581875651299,3.9845818756512985
2020-04-06,2.8801328905726526,18.80132890572653
2020-04-13,1.4458043307006463,4.458043307006463
2020-04-20,1.695757379592444,6.957573795924441
2020-04-27,1.5313574396506444,5.313574396506445
2020-05-04,1.7467237432268998,7.467237432268998
2020-05-11,2.3086066843693223,13.086066843693223
2020-05-18,1.6201562595539696,6.201562595539696
2020-05-25,1.515343936241733,5.153439362417329
2020-06-01,1.4570638273469627,4.570638273469627
2020-06-08,2.3716175171938927,13.716175171938927
2020-06-15,1.7913684540809856,7.9136845408098555
2020-06-22,1.518304923144128,5.183049231441279
2020-06-29,1.5814941092946917,5.814941092946917
2020-07-06,2.5627080354020273,15.627080354020272
2020-07-13,1.8704420564364441,8.70442056436444
2020-07-20,1.6969730340415148,6.969730340415148
2020-07-27,1.8429745091096033,8.429745091096033
2020-08-03,1.4075206577424884,4.075206577424884
2020-08-10,2.730409919660719,17.30409919660719
2020-08-17,1.761932898186843,7.6193289818684296
2020-08-24,1.8747380690693372,8.747380690693372
2020-08-31,1.567019321122578,5.67019321122578
2020-09-07,2.385202758217403,13.852027582174031
2020-09-14,1.761066065829944,7.610660658299439
2020-09-21,1.9761176743440756,9.761176743440757
2020-09-28,1.680619978779482,6.80619978779482
2020-10-05,1.8516360235916685,8.516360235916684
2020-10-12,2.7820632400374006,17.820632400374006
2020-10-19,2.8360217082131043,18.360217082131044
2020-10-26,3.2938556706249256,22.938556706249255
2020-11-02,1.5906516483913276,5.9065164839132756
2020-11-09,3.0294856893276023,20.294856893276023
2020-11-16,4.131086361866581,31.31086361866581
2020-11-23,4.452413246309741,34.5241324630974
2020-11-30,2.505433752709435,15.054337527094347
2020-12-07,3.291847185230451,22.918471852304513
2020-12-14,5.9884358527778305,49.8843585277783
2020-12-21,6.497631306929883,54.97631306929883
2020-12-28,5.556026817659476,45.56026817659476
2021-01-04,5.573278304933725,45.73278304933724
2021-01-11,5.207105572765555,42.071055727655555
2021-01-18,5.75936866418155,47.5936866418155
2021-01-25,5.375183630971298,43.751836309712985
2021-02-01,6.105159660645057,51.05159660645057
2021-02-08,5.753387354599909,47.533873545999086
2021-02-15,6.488442930998687,54.88442930998687
2021-02-22,6.024914746734665,50.24914746734665
2021-03-01,5.341423787316168,43.414237873161674
2021-03-08,5.069244103584825,40.69244103584825
2021-03-15,5.190311113806769,41.903111138067686
2021-03-22,5.38601261665442,43.8601261665442
2021-03-29,5.713130675778858,47.13130675778858
2021-04-05,4.933163762571756,39.33163762571756
2021-04-12,4.739977520965633,37.399775209656326
2021-04-19,4.591516377026039,35.91516377026039
2021-04-26,5.013437515742398,40.134375157423975
2021-05-03,5.080358775233659,40.80358775233659
2021-05-10,4.458911454751949,34.589114547519486
2021-05-17,4.677963619377247,36.779636193772475
2021-05-24,4.468619425987296,34.686194259872956
2021-05-31,5.446170225048316,44.461702250483164
2021-06-07,4.583539360725672,35.83539360725672
2021-06-14,3.379938927664491,23.79938927664491
2021-06-21,3.3532456822533834,23.532456822533835
2021-06-28,5.5928016615817,45.928016615817
2021-07-05,4.042341826391257,30.423418263912573
2021-07-12,3.8552133132355837,28.552133132355838
2021-07-19,5.742430545529151,47.42430545529152
2021-07-26,5.446331065772077,44.463310657720776
2021-08-02,5.126703017644208,41.26703017644208
2021-08-09,5.750783379987654,47.507833799876536
2021-08-16,6.317934623942284,53.17934623942284
2021-08-23,5.560017478000194,45.60017478000194
2021-08-30,4.876788038983599,38.76788038983599
2021-09-06,4.302688699705829,33.02688699705829
2021-09-13,5.299935360642943,42.99935360642942
2021-09-20,5.796540786024844,47.96540786024843
2021-09-27,5.627731612699246,46.27731612699246
2021-10-04,4.894892060121044,38.94892060121044
2021-10-11,5.3685859762591175,43.68585976259118
2021-10-18,5.065994265622987,40.659942656229866
2021-10-25,4.2946010076818375,32.946010076818375
2021-11-01,5.821433036126185,48.214330361261844
2021-11-08,4.370354039884015,33.70354039884015
2021-11-15,4.765818955832626,37.65818955832626
2021-11-22,4.2793055986947515,32.793055986947515
2021-11-29,4.693628132135834,36.936281321358344
2021-12-06,5.255135566932074,42.55135566932074
2021-12-13,2.663324011149639,16.633240111496388
2021-12-20,3.2600939563497753,22.600939563497754
2021-12-27,3.1777424499824223,21.77742449982422
2022-01-03,2.325592643337653,13.255926433376528
2022-01-10,2.117136635360569,11.17136635360569
2022-01-17,2.5667170858860726,15.667170858860725
2022-01-24,2.4381507748188724,14.381507748188724
2022-01-31,2.6915315837400082,16.915315837400083
2022-02-07,2.137861441685577,11.37861441685577
2022-02-14,2.8913469308683553,18.913469308683553
2022-02-21,2.2368735482850255,12.368735482850255
2022-02-28,2.3108147341174687,13.108147341174687
2022-03-07,2.302166831327707,13.021668313277068
2022-03-14,2.232606724809174,12.326067248091741
2022-03-21,2.9431628441537936,19.431628441537935
2022-03-28,2.5182390313329948,15.182390313329947
2022-04-04,2.4490707993511407,14.490707993511407
2022-04-11,2.6857994981923268,16.85799498192327
2022-04-18,2.48151123940546,14.815112394054601
2022-04-25,2.4697872504965837,14.697872504965837
2022-05-02,2.0805528478617994,10.805528478617994
2022-05-09,2.2456629607172767,12.456629607172767
2022-05-16,2.8878891490135237,18.87889149013524
2022-05-23,2.2669869838358676,12.669869838358675
2022-05-30,2.612367891790644,16.12367891790644
2022-06-06,2.0622505014822896,10.622505014822895
2022-06-13,2.541719129241159,15.41719129241159
2022-06-20,2.565756795547636,15.657567955476361
2022-06-27,2.3853996916905404,13.853996916905405
2022-07-04,2.3078523481287148,13.078523481287148
2022-07-11,2.430123912037401,14.301239120374012
2022-07-18,2.1917733460686812,11.917733460686811
2022-07-25,2.4582331433518823,14.582331433518823
2022-08-01,2.603591459660742,16.03591459660742
2022-08-08,1.9032496863601276,9.032496863601276
2022-08-15,2.218823177581681,12.18823177581681
2022-08-22,2.3093991518192074,13.093991518192073
2022-08-29,2.952871792732768,19.52871792732768
2022-09-05,2.0950333881756427,10.950333881756427
2022-09-12,1.972578000795267,9.725780007952668
2022-09-19,1.7472397782716813,7.472397782716813
2022-09-26,2.094212288943632,10.94212288943632
2022-10-03,2.775817254552221,17.75817254552221
2022-10-10,2.124325896495032,11.243258964950318
