week,CCFI_weekly_avg,weekly_avg_policy_index,weighted_teu,weighted_oil_vix,IPCI,avg_speed
2020-01-03,681.52,146.7042857,688194.5666666667,66.31002007055096,5.646967929408473,
2020-01-10,691.88,110.8842857,720132.5608333333,65.01522878034463,9.381676433062816,
2020-01-17,725.85,107.1671429,886011.08875,62.88731109559084,6.2446784540916855,20.684444444444445
2020-01-24,722.91,85.18285714,710682.5141666667,61.162106386447746,4.522422117578642,18.79111111111111
2020-01-31,720.53,103.0942857,909312.34125,57.74650400926321,6.586913593304606,18.73590909090909
2020-02-07,719.42,104.9742857,753804.2866666666,54.21686089602999,9.286894305664454,17.3385
2020-02-14,718.25,101.5985714,817154.4870833333,54.13120890658057,14.0804365810457,17.158571428571427
2020-02-21,730.29,106.8985714,509641.10916666663,57.362002087141924,4.286382533780593,16.451538461538462
2020-02-28,700.75,144.8728571,482057.98625,52.76709971824944,7.257042388501413,16.707272727272727
2020-03-06,720.95,158.1428571,291281.35375,49.349540733625226,5.261400269148098,17.36
2020-03-13,712.68,289.9257143,793348.0545833333,35.5679837529615,18.2337230447703,16.72684210526316
2020-03-20,707.18,499.4685714,642527.86125,29.211299672702875,3.9583105028262144,17.082857142857144
2020-03-27,726.47,586.5114286,509601.43625,27.64218669881476,5.660717607767434,17.33235294117647
2020-04-03,723.91,572.4428571,741513.4450000001,27.252187197381396,3.9845818756512985,17.518
2020-04-10,732.96,511.8028571,882099.3104166667,32.66418294502405,18.80132890572653,17.62272727272727
2020-04-17,738.71,534.0242857,758018.6204166666,29.301291104455608,4.458043307006463,17.55421052631579
2020-04-24,741.1,601.1614286,1209183.1720833334,22.20467802423246,6.957573795924441,17.51421052631579
2020-05-01,733.53,492.4185714,626214.9654166667,23.041797870376257,5.313574396506445,17.78529411764706
2020-05-08,723.83,558.0814286,755840.8058333334,29.751877746627926,7.467237432268998,17.549444444444443
2020-05-15,736.17,521.6185714,692190.6779166667,30.533263977240427,13.086066843693224,18.433333333333334
2020-05-22,732.3,425.0914286,720315.84375,35.09658489234212,6.201562595539696,18.003333333333334
2020-05-29,722.79,432.9871429,681770.7375,35.16243452808125,5.153439362417329,18.528823529411767
2020-06-05,734.87,272.3428571,867258.145,39.002647143226575,4.570638273469627,18.887857142857143
2020-06-12,741.4,304.2214286,714267.29375,39.9417294902391,13.716175171938929,18.30526315789474
2020-06-19,775.38,381.5714286,896333.9541666666,40.807271538660466,7.913684540809856,18.107727272727274
2020-06-26,793.86,302.3685714,961047.9958333333,41.355791804656135,5.183049231441279,17.378846153846155
2020-07-03,838.73,335.5657143,1021649.0345833333,41.42163715869511,5.814941092946917,18.342173913043478
2020-07-10,860.41,321.2542857,968820.1091666666,42.57819269130835,15.627080354020272,17.758750000000003
2020-07-17,883.92,395.9,1042506.4691666667,42.76147429391599,8.70442056436444,18.023928571428574
